feature_id,CML322_vs_B73,K49_vs_Control,Mix_vs_Control,Tox4_vs_Control,Epibiota_vs_Endobiota,Corn_GenotypeCML322:Fungal_TreatmentK49,Corn_GenotypeCML322:Fungal_TreatmentMix,Corn_GenotypeCML322:Fungal_TreatmentTox4,K49_vs_Mix,Tox4_vs_Mix,Tox4_vs_K49,Kingdom,Phylum,Class,Order,Family,Genus,Species,ecosystem_category,ecosystem_subtype,sample_collection_site
680eca174e12da8ba0d3c48129fc1827,-0,0,-0,0,2.53,-7.8,0,-0,5.25,6.8,0,d__Bacteria,Firmicutes,Bacilli,Lactobacillales,NA,NA,NA,NA,NA,NA
b4643cd3bf499cebc8dae74bc38b11b0,-0,-0,0,0,-1.26,0,-0,0,0,0,0,d__Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_mundtii,NA,NA,NA
d61a5fcf9e3f0a31cbb2327149b2ed14,-0,-0,0,9.4,-0,-4.3,0,-9.34,-0,9.34,9.41,d__Bacteria,Firmicutes,Bacilli,Lactobacillales,Listeriaceae,Listeria,Listeria_grayi,NA,NA,NA
ddc882174457cf0991ccbbdd4dffc9dd,-8.53,-8.54,-7.52,0,-0,0,7.62,-0,-0,10.98,11.91,d__Bacteria,Firmicutes,Bacilli,Lactobacillales,Listeriaceae,Listeria,Listeria_grayi,NA,NA,NA
90a81bfcd50ffc4983a4fbad5433d31b,-0,-0,0,0,-0.98,0,-0,0,0,0,0,d__Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,NA,NA,NA,NA
2cf6428d26c842862dc62c2dfde1368a,0,0,0,0,0,-9.78,-0,-0,0,0,0,d__Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,NA,NA,NA,NA
1dad6e9458dd3faab542675c2cb8f0c8,-0,-0,0,0,-0.94,4.66,-0,0,0,0,0,d__Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Taibaiella,NA,NA,NA,NA
1b7377b3a42affa7b9568561954b10ae,-0,-0,0,-0,-0,4.4,-0,0,0,0,0,d__Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Niabella,uncultured_bacterium,NA,NA,NA
fa3982edce2a274f8a70d156732c0db9,-0,-0,0,0,-0.87,-0,-0,0,0,0,0,d__Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga_sedimenti,NA,NA,NA
621bb5fe0fee1b155e83c5a03f9f0918,0,-0,0,-0,-0,4.5,-0,-0,0,0,0,d__Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium_thalpophilum,NA,NA,NA
4edaf9d47e4ba020c125b4da6845bd2e,-4.92,-5.53,-5.37,-0,0,0,0,0,0,0,0,d__Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium_multivorum,NA,NA,NA
3c7077eb4ab7fea2d6c376808c1a76ee,-0,5.98,-0,-0,0,-10.27,0,0,6.43,-0,-6.56,d__Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,NA,NA,NA,NA
d9ad394b2faf3e2e173dd61062138d83,-0,-0,0,-0,-0,4.66,0,0,0,0,0,d__Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium_siyangense,NA,NA,NA
2990e5f85c1e1e70121a27bcb8a513ea,-0,0,-0,-0,-0,5.34,0,0,0,0,0,d__Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium_siyangense,NA,NA,NA
2df8226724770fad5a4f189279e56ff3,-0,-0,0,0,-0,6.66,0,0,0,0,0,d__Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium_siyangense,NA,NA,NA
875673ba9bcbb9bf72d6b8f663f27bc2,-0,-0,0,-0,-0,2.84,0,0,0,0,0,d__Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,NA,NA,NA,NA
3fc28cd3a0ffe284319361ce4f497dac,-0,-0,0,-0,-0,2.55,-0,0,0,0,0,d__Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium_multivorum,NA,NA,NA
1d6612bddfdc9c89fecba4d1e7a8c33b,-0,-0,0,-0,-0,2.4,0,0,0,0,0,d__Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,NA,NA,NA,NA
e72f4ed8b449dd29bdd5a07873fed383,0,0,0,-0,-0,-5.19,-0,-0,0,0,0,d__Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,NA,NA,NA,NA
6b3208b7b70e66df70519c8591fbcd79,0,-0,0,0,-0,5.32,-0,0,0,0,0,d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium_anatoliense,NA,NA,NA
74a98dbb0ecc6accf3cba87d53c1bc26,-0,-0,0,0,-0.81,-0,-0,0,0,0,0,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter,Dyadobacter_fermentans,NA,NA,NA
babb2ebb5ca6d5b569dbcd2b4b628198,0,-0,0,0,-2.02,-5.25,0,-0,0,0,0,d__Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,NA,NA,NA,NA
1a994103b16985fc3af6b73eaa6cfcb8,0,0,0,-0,-0,-5.08,-0,0,0,0,0,d__Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_15,NA,NA,NA,NA
c1c5b005d1c430ed705d15396103fb0e,-0,0,0,-0,0,-8.49,-0,0,0,0,0,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,uncultured,uncultured,uncultured_Tistrella,NA,NA,NA
405aae4a3f3fd735f536808b809fec53,-0,-0,0,-0,-0.77,0,-0,0,0,0,0,d__Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,uncultured_bacterium,NA,NA,NA
b866cfe505b6774c0eeedbb152aafde2,0,0,-0,-0,0,-9.25,0,-0,0,0,0,d__Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA,NA,NA,NA
0299d1fdb3d6d68197b34c0095af67e8,0,0,-0,0,0,-8.21,-0,-0,4.62,0,0,d__Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA,NA,NA,NA
739757bb3cee49d8ea12c04fe0ced87e,-0,-0,-0,-0,-0,-2.69,0,0,0,0,0,d__Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA,NA,NA,NA
a2615cd735b717c28386bcd627afe309,0,-0,-0,-0,0,-6.41,0,0,0,0,0,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Labraceae,Labrys,NA,NA,NA,NA
f01ade81a1d683bf28bf558fcc5b8c10,0,0,-0,0,2.02,-8.64,-0,-0,0,0,0,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,NA,NA,NA,NA
bd323ae18c05ef24ddf56667c04faecd,0,0,-0,-0,3.77,-0,0,-0,0,0,0,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,NA,NA,NA,NA
e92459ca1ec0da513e5822982ecdf95c,0,0,-0,-0,0,-6.22,-0,-0,0,0,0,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,Methylobacterium_komagatae,NA,NA,Water sample from food factory;water sample in a food factory
139b3a842bac5a67836f791535c71ed2,-0,0,0,0,3.76,-6.94,0,-0,0,0,0,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,NA,NA,NA,NA
8a64b99d59ed626145251ea1b863e526,0,0,5.59,-0,0,-8.1,-0,-0,-0,-5.8,0,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,NA,NA,NA,NA
663303c64b5749b614383b0b788df635,-0,-0,-0,-0,-2.1,-0,0,0,0,0,0,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,Methylobacterium_organophilum,NA,NA,NA
6e7604ec6f61c2fee0d97a8d8b3d057d,-0,-0,0,0,-0,-4.22,-0,-0,0,0,0,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,NA,NA,NA,NA
60f2bb2654e2dfbd2e2559c399debc68,0,0,0,-0,-0,4.37,-0,0,0,0,0,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Devosia_riboflavina,NA,NA,NA
08d56f5018f05a1b815c7329e4ba46b6,0,0,-0,-0,0,-7.55,-0,-0,0,0,0,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aureimonas,NA,NA,NA,NA
5fa4c3306265789aa438dcfe7a0eacfd,0,0,0,0,2.78,0,-0,-0,0,0,0,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ochrobactrum,NA,NA,NA,NA
2de8a5c71020b52c8bc38293e92680d2,-0,-0,-0,-0,2.61,0,-0,-0,0,0,0,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ochrobactrum,NA,NA,NA,NA
34effc3a7b8d3e1911a905a44e073ede,-0,-0,-0,-0,0,6.54,0,-0,0,0,0,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ochrobactrum,NA,NA,NA,NA
afb2f933b8a01130b7a8ad25a89d7ac7,-0,-0,-0,-0,2.9,0,-0,0,0,0,0,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA,NA,NA,NA
f050e64be567decd026f1562c3c679c3,0,0,-0,-0,3.7,-0,0,-0,4.69,0,0,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA,NA,NA,NA
04d8f66bdb50eea03d0e4bbf510e010f,-0,-0,0,-0,-0,4.33,0,0,0,0,0,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,NA,NA,NA,NA
261948e060310c5b4e91d0c0ed8788c5,-0,-0,0,0,-0.84,-0,-0,0,0,0,0,d__Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,NA,NA,NA,NA
e88077dd64178ebd86038e2621fbb492,0,0,-0,-0,0,-8.66,-0,-0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,NA,NA,NA
8b3ed69ac4c11f2a51a6643b0c6b9bdd,0,0,-0,0,0,-8.8,-0,-0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_psychrotolerans,NA,NA,NA
6fec06dcdfd56cda8e1ec74b9229c3e9,0,0,0,0,0,-7.44,-0,-0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Luteibacter,Luteibacter_sp.,NA,NA,NA
7972a47461033504d54b172beaf2bb57,0,-0,0,-0,-0,-10.08,-0,-0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,NA,NA,NA,NA
1f01c7644e962a9e26a4eaf299c804af,0,-0,-0,0,0,-7.98,-0,-6.86,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,uncultured_bacterium,NA,NA,NA
9482501a01e49c89fe14296afc4dfb34,0,-0,0,0,-1.11,0,-0,-0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,NA,NA,NA
cbf1d9cccfac2576101e7a02f5a0b0cd,5.35,0,0,5.07,0,-0,-11.29,-8.49,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,NA,NA,NA
9f32ddda6c48028e2239d0f883822bc5,-0,-0,-0,11.64,-0,-0,0,-12.32,-0,12.92,12.99,d__Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Carnimonas,uncultured_bacterium,NA,NA,NA
96ed4deb9c664d57ec85532223a62a13,0,0,0,-0,0,-9.04,-0,-0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_soli,NA,NA,NA
cf6c7be8681b3a3d110e9c6322bd40d4,-0,-0,0,0,-1.18,3.46,-0,0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_baylyi,NA,NA,NA
6c1b62e597d1d9fba9674eb3e65862f4,0,0,-0,-0,0,-7.34,-0,-0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,NA,NA,NA,NA
e949ff69873462388ebb80e25c1fadca,0,-0,-0,0,0,-7.99,-0,-0,-0,5.87,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,NA,NA,NA,NA
265a90fcff1340475499248a71331f2f,0,0,6.56,0,0,-9.8,-7.51,-0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,NA,NA,NA,NA
86ca09c22b3ddc20699eb03e5b200bdb,-0,-0,0,0,-0,5.53,0,-0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,NA,NA,NA,NA
f8084d863f46116605d074ebbf927cba,-0,-0,-5.85,-0,0,-0,0,-0,5.37,5.09,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,NA,NA,NA,NA
db3345ef2bdc8bd7d6e2181c66f35601,-0,-0,0,-0,-0,2.92,0,0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,NA,NA,NA
54e01a5e41373e4b20a051055a80b6b2,-0,-0,0,0,-0,5.55,-0,0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas_sediminis,Plants,Rhizosphere,transgenic sorghum/grain sorghum rhizosphere
d18195d244e60a45b1894a29035f3518,-0,-0,0,-0,-0,4.43,0,0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas_sediminis,Plants,Rhizosphere,transgenic sorghum/grain sorghum rhizosphere
267794ed64fd4786990be83a5a49dfe2,-0,-0,-0,-0,-0,3.93,0,0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas_sediminis,Plants,Rhizosphere,transgenic sorghum/grain sorghum rhizosphere
e6105d4ca0fb83a3ad3d4214bc06f095,-0,0,-0,-0,0,-8,0,0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,NA,NA,NA,NA
988dd7f1bd642dbac233540b1b4e2003,-0,-0,-0,-0,0,-8.25,-0,-0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,Burkholderia_gladioli,NA,NA,NA
9250285a91368972441f350b3432f3ec,0,-0,0,0,0,-6.42,0,-0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,NA,NA,NA,NA
909f5afaddef704c5dee526b7d44e5ee,-0,-0,0,0,0,-4.22,0,0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,NA,NA,NA,NA
3eb6f099f41c3334d9fffb9383ff9fbf,-0,-0,-0,-0,-0,-2.98,0,0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Rosenbergiella,NA,NA,NA,NA
118a122550c6b4b427dd61d5ac59a956,-0,-0,0,0,0,-4.05,0,0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Izhakiella,Dickeya_chrysanthemi,NA,NA,NA
bf8c9c2d2bf5f63b5201d63ba69923ae,0,0,0,-0,-0,-7.99,-0,-0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,NA,NA,NA,NA
f8f93449474a1d4e62721135f479213d,4.59,0,0,0,0,-9.66,-4.64,-6.6,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,NA,NA,NA,NA
ec66cc508688c21839c3367bce612ae4,-0,-0,0,0,0,-4.24,0,-0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,NA,NA,NA,NA
e1481236cfd7f904a27a92e7ee8aef30,0,-0,7.55,-0,0,-8.19,-12.05,-0,-7.61,-7.68,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,NA,NA,NA,NA
08c93ef41a7c984d5dad8f6c4fb9d1f4,-0,-0,0,0,-0,-4.3,-0,-0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,NA,NA,NA,NA
f5efaab4944dca6092be8006004d7397,0,0,8.23,0,0,-10.77,-13.75,-0,-6.49,-6.51,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA,NA,NA,NA
0ff02bcf2ceef633c00e9ba90aa0c3ee,5.56,0,0,0,0,-10.64,-0,-7.18,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA,NA,NA,NA
f8b68858f4bda48275018afce2591aee,0,-0,0,-0,-0,-10.36,-0,-0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,NA,NA,NA,NA
29c92dd089c4362c8266a7d0a44fc1c8,7.24,-0,-0,0,0,-0,-0,-11.8,0,6.38,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,NA,NA,NA,NA
6c50dd3cf297cf30eaf754d064def0bb,7.44,-0,-0,0,0,-0,-0,-0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,NA,NA,NA,NA
935d661e90cd055988a88fe955534145,0,-0,0,-0,0,-10.88,-0,-0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,NA,NA,NA,NA
7ecb4c71dd09dade32848393a7eb3a55,0,9.24,0,0,0,-18.84,-0,-7.63,7.34,0,-6.84,d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,NA,NA,NA,NA
0310c488c72166f8a389a480afce6a9d,0,10.05,0,0,0,-21.25,-0,-6.36,9.02,-0,-9.83,d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,NA,NA,NA,NA
41e45c088706aae11f98c950bd12e314,0,-0,0,-0,0,-7.55,0,-0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea_ananatis,NA,NA,NA
c21ef2aa19fee12e5fe00e7aff8c9090,7.55,11.6,0,0,0,-22.84,-0,-9.46,0,0,-8.83,d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea_ananatis,NA,NA,NA
238aa61f987cc53c1b30045d1d29f078,0,0,0,0,-0,-9.61,-0,-0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,NA,NA,NA,NA
40807d016f7a9ccf72f7b9633d900f33,0,-0,0,-0,0,-7.31,-0,-0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,NA,NA,NA,NA,NA
7bfe55c8465b9f33f73722c159d57119,0,0,0,-0,0,-9.21,0,0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,NA,NA,NA,NA
7c14a1c1486492fc822e305f1d0be818,-0,0,-0,-0,0,-8.87,0,0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,NA,NA,NA,NA
c871da61ee5cd43e5b51aba735ceb072,-0,0,0,0,-0,-10.16,0,-0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,NA,NA,NA,NA
f595b8af0495c6249456c10a230d69c6,-0,0,0,0,-0,-10.03,0,-0,0,0,0,d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,NA,NA,NA,NA
04b2c967c64b588eb8f71429d1828399,0,0,0,0,0,0,0,0,0,2.62,0,d__Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA
f4d390a1eec4fb988b1595fc8590adb4,0,0,0,0,0,0,0,0,0,4.85,0,d__Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Curtobacterium,NA,NA,NA,NA
